Account,Sentiment,Total_Trades,Total_Volume_USD,Total_PnL,Avg_Trade_Size,Win_Rate,Avg_Fear_Greed_Value,Cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,1507100.8600000003,124769.221441,15071.008600000005,0.37,17.8,1
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,11415855.67,-40282.33590399999,12080.27055026455,0.0666666666666666,78.39153439153439,3
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,30262439.89,1113373.547515,17020.494876265468,0.5264341957255343,37.6496062992126,2
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,8686990.84,276719.270187,15134.130383275262,0.1602787456445993,71.79094076655052,1
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,9824876.71,125650.11674,23336.999311163898,0.5819477434679335,50.41330166270784,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,366532.65,-4235.153050999999,2156.074411764706,0.3,16.86470588235294,3
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,1523508.3,35658.894935,1846.6767272727272,0.576969696969697,76.83151515151515,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,2573742.54,-1658.736801,981.595171624714,0.4782608695652174,33.47597254004577,3
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,6487032.05,30053.395556,2204.2242779476724,0.4016309887869521,64.77743798844716,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,1084672.12,-11933.080125,1506.4890555555553,0.3611111111111111,49.23194444444445,3
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,4886973.24,16706.884912,6131.710464240904,0.3764115432873274,18.0,3
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,159708.3,1793.160215,31941.66,0.8,82.8,1
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,13491850.52,30121.91049,7222.6180513918625,0.3822269807280514,36.90310492505353,3
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,10486688.13,-100019.80637400002,19419.792833333333,0.2444444444444444,70.81111111111112,1
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,4848220.23,-19038.340561,8093.856811352254,0.0,47.04173622704508,3
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,463208.61,-25666.012284,806.9836411149826,0.2874564459930314,19.817073170731707,3
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,3277267.08,108009.960644,438.0787434834915,0.4444592968854431,81.09103061088089,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,917809.07,13422.524859,656.0465117941387,0.4303073624017155,33.75553967119371,3
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,1489279.85,31192.591971,501.44102693602696,0.4484848484848485,69.68686868686869,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,609457.49,5505.749364,687.0997632468997,0.4667418263810597,48.75310033821872,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,277460.03,11415.247787,2477.321696428572,0.6875,20.553571428571427,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,5039569.399999999,90895.05041,3409.722192151556,0.4878213802435724,80.01353179972936,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,584523.8600000001,3979.190771999999,1534.1833595800529,0.4330708661417323,34.648293963254595,3
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,1022433.76,20075.672949,4041.240158102767,0.541501976284585,65.6205533596838,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,3242893.15,42292.843076000005,3194.968620689655,0.5753694581280788,48.64630541871921,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,426110.78,-56967.825773,1620.1930798479088,0.1102661596958174,21.96958174904943,3
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,449446.7400000001,30992.181771000003,2791.5946583850937,0.4596273291925465,80.95652173913044,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,338174.44999999995,-467.0588959999996,1320.9939453124998,0.6796875,35.00390625,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,156310.59,-3531.989984,1532.4567647058825,0.7254901960784313,61.372549019607845,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,39859.44000000001,-1228.907104,1207.8618181818183,0.6060606060606061,50.36363636363637,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,6740754.44,-76179.494853,4041.2196882494,0.302158273381295,20.7757793764988,3
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,546525.6299999999,14406.384864999998,4752.396782608695,0.4956521739130435,79.24347826086957,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,6207226.959999999,54685.021109,4219.732807613867,0.3222297756628144,34.057104010876955,3
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,733557.1,10591.760255,11643.763492063492,0.4444444444444444,71.01587301587301,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,2965311.29,10953.24796,10901.879742647056,0.4154411764705882,46.525735294117645,3
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,64377.46,110.553364,3388.2873684210526,1.0,18.0,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,554152.63,36870.155091,2690.061310679612,0.3689320388349514,81.22330097087378,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,337546.24,4256.559308999999,4272.7372151898735,0.620253164556962,36.607594936708864,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,124084.75,4239.816383,4772.490384615384,0.5,69.8076923076923,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,63735.380000000005,8019.163096,31867.69,0.5,46.5,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,149251.28999999998,9461.082288,2446.742459016393,0.0491803278688524,24.0,3
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,347816.12000000005,4019.61859,3220.5196296296303,0.2314814814814814,80.4074074074074,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,617413.63,99648.278349,6300.139081632653,0.3571428571428571,32.642857142857146,3
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,670213.1399999999,12082.95,9856.075588235291,0.0294117647058823,71.63235294117646,3
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,202833.43,74293.663505,4225.696458333333,0.5208333333333334,46.5,0
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,440050.95,0.0,5570.2651898734175,0.0,18.0,3
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124285.34,124284.948775,8285.689333333334,1.0,78.0,0
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,601013.3300000001,5615.052102,2535.921223628692,0.1012658227848101,35.9746835443038,3
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,1174862.15,227680.491734,1521.842163212435,0.6373056994818653,63.7279792746114,0
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,625897.45,58961.37973,4670.876492537313,0.5074626865671642,47.440298507462686,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,391,224065.46,-14527.442518000003,573.0574424552428,0.2634271099744245,19.314578005115088,3
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,3150,1707644.17,67275.949439,542.1092603174603,0.3428571428571428,79.98095238095237,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924,498888.4,9999.484228,539.9225108225108,0.3766233766233766,34.06709956709957,3
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398,1667155.83,36566.483324,490.628555032372,0.3507945850500294,70.31959976456739,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,311075.04000000004,4029.241688,474.199756097561,0.4390243902439024,48.70884146341464,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986,10441684.57,166696.399486,10589.94378296146,0.3093306288032454,19.12170385395537,3
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167,878585.3799999999,20496.054182,5260.990299401197,0.3592814371257485,75.66467065868264,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,1396,18227807.74,296781.722858,13057.168868194844,0.409025787965616,32.02865329512894,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135,6357516.120000001,96392.78318600002,5601.3357885462565,0.5955947136563877,67.5215859030837,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,3667355.44,97380.090931,5457.3741666666665,0.7529761904761905,47.191964285714285,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,9319233.83,74346.546606,25119.228652291105,0.4285714285714285,20.005390835579515,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,45776822.49,129217.68646,18714.972399836468,0.3336058871627146,78.70932134096483,1
